unit_number,time_in_cycles,operational_setting_1,operational_setting_2,operational_setting_3,sensor_measurement_2,sensor_measurement_3,sensor_measurement_4,sensor_measurement_7,sensor_measurement_8,sensor_measurement_9,sensor_measurement_11,sensor_measurement_12,sensor_measurement_13,sensor_measurement_14,sensor_measurement_15,sensor_measurement_17,sensor_measurement_20,sensor_measurement_21
1.0,18.0,0.3218391,0.4166667,0.0,0.42468262,0.43601608,0.23413086,0.7004852,0.22753906,0.12482834,0.2142868,0.6545868,0.27978516,0.16921234,0.2997284,0.33333206,0.5813961,0.6966324
1.0,19.0,0.68390805,0.25,0.0,0.17468262,0.36014938,0.30553627,0.697258,0.21240234,0.1447525,0.32738304,0.6823044,0.22094727,0.15063477,0.41246796,0.25,0.5116291,0.62441254
1.0,20.0,0.28735632,0.5833333,0.0,0.55119324,0.21953201,0.38791275,0.79870605,0.22753906,0.10845184,0.22023964,0.72068787,0.20605469,0.15362549,0.3697548,0.33333206,0.68992233,0.72880554
1.0,21.0,0.43103448,0.5833333,0.0,0.34939575,0.32766342,0.26806068,0.68116,0.31835938,0.11854935,0.17857361,0.79530334,0.2944336,0.17586899,0.30780792,0.33333206,0.73643494,0.5742874
1.0,22.0,0.5114943,0.5,0.0,0.46987915,0.47721863,0.30924797,0.608696,0.21240234,0.17714691,0.23214531,0.70575714,0.22094727,0.15724182,0.3020401,0.33333206,0.6046505,0.66970444
1.0,23.0,0.69540226,0.25,0.0,0.28012085,0.3738823,0.21100426,0.6650543,0.22753906,0.11015701,0.23809624,0.60341644,0.25024414,0.14428711,0.38129807,0.33333206,0.62015533,0.7760277
1.0,24.0,0.44252872,0.75,0.0,0.35240173,0.43143463,0.27954102,0.5861511,0.3334961,0.098846436,0.35119057,0.73347473,0.22094727,0.1751442,0.2470169,0.33333206,0.66666794,0.65644836
1.0,25.0,0.6321839,0.16666669,0.0,0.46987915,0.5027237,0.28933144,0.6682739,0.18188477,0.14551544,0.3035717,0.82515717,0.20605469,0.18923569,0.25702286,0.41666412,0.6279087,0.7381935
1.0,26.0,0.5,0.6666666,0.0,0.2861328,0.39328384,0.2332859,0.6859894,0.2578125,0.11388016,0.24404716,0.7654648,0.26489258,0.16105652,0.38899612,0.5,0.5581417,0.71899796
1.0,27.0,0.43103448,0.16666669,0.0,0.37046814,0.4235878,0.33068657,0.6795502,0.18188477,0.117694855,0.30952454,0.70575714,0.36767578,0.17886353,0.30665588,0.41666412,0.6589165,0.7636032
1.0,28.0,0.36206895,0.9166667,0.0,0.34335327,0.25724792,0.28494263,0.777771,0.3334961,0.12612915,0.33333397,0.8272934,0.2944336,0.14118958,0.4132347,0.16666412,0.6744175,0.5383873
1.0,29.0,0.5689655,0.4166667,0.0,0.21083069,0.30063248,0.3163395,0.70853424,0.22753906,0.12895584,0.23214531,0.79317474,0.26489258,0.1709137,0.36167526,0.41666412,0.61240387,0.6427765
1.0,30.0,0.37356323,0.5,0.0,0.29818726,0.4900818,0.23345566,0.72785187,0.2578125,0.10719299,0.32738304,0.7462692,0.17675781,0.19568634,0.31396484,0.16666412,0.70542717,0.7136116
1.0,31.0,0.5804598,0.9166667,0.0,0.24397278,0.2864647,0.2472992,0.689209,0.27294922,0.1662445,0.33333397,0.6950989,0.26489258,0.13076401,0.32897568,0.33333206,0.62015533,0.6090851
1.0,32.0,0.52873564,0.25,0.0,0.3373413,0.44342804,0.30570412,0.82286835,0.21240234,0.13119888,0.23809624,0.6886978,0.27978516,0.1535759,0.3459015,0.33333206,0.68217087,0.8363724
1.0,33.0,0.25862068,0.16666669,0.0,0.45181274,0.37845993,0.34064865,0.7665024,0.21240234,0.113967896,0.25595284,0.6865616,0.2944336,0.17793274,0.19392395,0.33333206,0.5348854,0.6302109
1.0,34.0,0.5862069,0.4166667,0.0,0.400589,0.22738266,0.30772972,0.71658325,0.19726562,0.110961914,0.36904907,0.6417923,0.30908203,0.13763046,0.42324066,0.33333206,0.5193825,0.57304764
1.0,35.0,0.51724136,0.6666666,0.0,0.37046814,0.41334152,0.35026932,0.71658325,0.21240234,0.10782242,0.27381134,0.65245056,0.19140625,0.20760727,0.45440674,0.25,0.7674427,0.72107315
1.0,36.0,0.4770115,0.33333334,0.0,0.400589,0.23283005,0.3931465,0.75362396,0.16674805,0.102436066,0.23809624,0.7739868,0.2355957,0.16792297,0.38360977,0.33333206,0.5581417,0.74095535
1.0,37.0,0.4770115,0.5,0.0,0.23492432,0.17593002,0.28105927,0.769722,0.2578125,0.15126038,0.26190567,0.76758575,0.2355957,0.16518784,0.3435936,0.33333206,0.6589165,0.74702835
1.0,38.0,0.39655173,0.33333334,0.0,0.21685791,0.40462112,0.2911873,0.78099823,0.27294922,0.15049362,0.2500019,0.79530334,0.2944336,0.18923569,0.34975052,0.33333206,0.71318054,0.8044739
1.0,39.0,0.3275862,0.4166667,0.0,0.2409668,0.265316,0.31127357,0.6634369,0.18188477,0.13474274,0.1607151,0.75479126,0.25024414,0.16446304,0.34282303,0.33333206,0.43411064,0.65686035
1.0,40.0,0.5,0.16666669,0.0,0.31022644,0.2406807,0.32950592,0.7600632,0.24267578,0.14022064,0.285717,0.6716461,0.19140625,0.16043854,0.2058487,0.33333206,0.5426369,0.6665268
1.0,41.0,0.6896552,0.8333333,0.0,0.35842896,0.44190216,0.35381317,0.6231842,0.24267578,0.12231827,0.1428585,0.72068787,0.22094727,0.1968193,0.4313202,0.33333206,0.7674427,0.7597351
1.0,42.0,0.52873564,0.16666669,0.0,0.27409363,0.2969284,0.32292366,0.6586151,0.27294922,0.15852356,0.38095474,0.75479126,0.25024414,0.15966415,0.341671,0.33333206,0.66666794,0.6639061
1.0,43.0,0.3448276,0.9166667,0.0,0.31022644,0.4464798,0.4017563,0.616745,0.19726562,0.16220474,0.27976227,0.86354065,0.30908203,0.14077759,0.3151207,0.33333206,0.6589165,0.58078
1.0,44.0,0.49425286,0.6666666,0.0,0.21685791,0.3466301,0.31988335,0.6924362,0.21240234,0.11280441,0.3571434,0.769722,0.17675781,0.1626091,0.36629486,0.33333206,0.71318054,0.8024025
1.0,45.0,0.42528737,0.5,0.0,0.39759827,0.24809265,0.28544807,0.64089966,0.27294922,0.17315674,0.3571434,0.64818573,0.25024414,0.14640427,0.32704926,0.41666412,0.50387764,0.6905556
1.0,46.0,0.51724136,0.5833333,0.0,0.36746216,0.3760643,0.3210659,0.62963104,0.24267578,0.17342377,0.20833397,0.7100296,0.2944336,0.14846802,0.2801094,0.41666412,0.61240387,0.66321564
1.0,47.0,0.5,0.9166667,0.0,0.3012085,0.20230865,0.34841347,0.7294693,0.24267578,0.13600159,0.22023964,0.6716461,0.25024414,0.13556671,0.27856827,0.33333206,0.6589165,0.81897354
1.0,48.0,0.6091954,0.5833333,0.0,0.20481873,0.38085938,0.28544807,0.67150116,0.27294922,0.10557556,0.32738304,0.6865616,0.26489258,0.15507507,0.43362808,0.33333206,0.62015533,0.6500969
1.0,49.0,0.41954023,0.9166667,0.0,0.30722046,0.29016876,0.26181602,0.705307,0.2578125,0.12971878,0.22023964,0.5714264,0.2355957,0.18340302,0.34705734,0.33333206,0.71318054,0.76719284
1.0,50.0,0.31609195,0.4166667,0.0,0.46987915,0.3804245,0.36073494,0.6553879,0.24267578,0.12056351,0.36904907,0.77612305,0.30908203,0.14118958,0.33359146,0.33333206,0.5503864,0.7130623
1.0,51.0,0.44252872,0.75,0.0,0.48191833,0.31611252,0.30671883,0.624794,0.18188477,0.113788605,0.1607151,0.6865616,0.25024414,0.17762375,0.48287964,0.41666412,0.62015533,0.6502342
1.0,52.0,0.6034483,0.4166667,0.0,0.4668579,0.27752304,0.22484589,0.5136795,0.21240234,0.15381241,0.13095284,0.72707367,0.27978516,0.16967392,0.49634552,0.25,0.66666794,0.6139183
1.0,53.0,0.62068963,0.4166667,0.0,0.42167664,0.19141006,0.3377781,0.6940384,0.22753906,0.1320076,0.26190567,0.6972351,0.26489258,0.17772675,0.44979095,0.33333206,0.5891495,0.6673584
1.0,54.0,0.48850575,0.9166667,0.0,0.36444092,0.46980667,0.31988335,0.6602249,0.21240234,0.15507126,0.31547737,0.7995758,0.26489258,0.15486526,0.36167526,0.33333206,0.63565826,0.47031403
1.0,55.0,0.55172414,0.5,0.0,0.36143494,0.30324554,0.32629776,0.7407379,0.21240234,0.1220932,0.32738304,0.7292099,0.20605469,0.17628098,0.31627655,0.33333206,0.71318054,0.63863754
1.0,56.0,0.54022986,0.33333334,0.0,0.38552856,0.33333206,0.31245613,0.6650543,0.16674805,0.09283447,0.24404716,0.80809784,0.2355957,0.18299103,0.2974205,0.25,0.4186058,0.61668015
1.0,57.0,0.31034482,0.5,0.0,0.2770996,0.27534485,0.34672546,0.5748749,0.22753906,0.13043594,0.26190567,0.624733,0.2944336,0.18340302,0.39015198,0.33333206,0.5426369,0.63863754
1.0,58.0,0.41954023,0.5833333,0.0,0.2078247,0.42337036,0.26569748,0.6908188,0.28808594,0.12833023,0.24404716,0.7505417,0.2355957,0.16585922,0.4116974,0.16666412,0.61240387,0.54556656
1.0,59.0,0.46551725,0.6666666,0.0,0.3373413,0.55984116,0.3588791,0.7681122,0.2578125,0.12711334,0.24404716,0.5607681,0.20605469,0.148983,0.47210693,0.33333206,0.6046505,0.7597351
1.0,60.0,0.44252872,0.33333334,0.0,0.34036255,0.25528717,0.35144997,0.6682739,0.24267578,0.13443375,0.33333397,0.81023407,0.22094727,0.17004013,0.24201584,0.41666412,0.5813961,0.6804733
1.0,61.0,0.5229885,0.9166667,0.0,0.26805115,0.27272797,0.3928089,0.6827698,0.31835938,0.12945175,0.27381134,0.7782593,0.30908203,0.16369247,0.39053726,0.25,0.5813961,0.6484375
1.0,62.0,0.5229885,0.5833333,0.0,0.2891388,0.22999573,0.2918625,0.7407379,0.30322266,0.14309311,0.25595284,0.7462692,0.32373047,0.16688919,0.31627655,0.25,0.68992233,0.519886
1.0,63.0,0.5862069,0.6666666,0.0,0.4186554,0.45999527,0.22163963,0.5845337,0.24267578,0.12666702,0.3928566,0.6119385,0.19140625,0.15888977,0.42631912,0.5,0.4883728,0.62054443
1.0,64.0,0.59770113,0.6666666,0.0,0.30722046,0.2936554,0.30148506,0.64894867,0.30322266,0.09844208,0.3571434,0.6673813,0.2355957,0.14557648,0.31435013,0.25,0.61240387,0.6763344
1.0,65.0,0.5,0.9166667,0.0,0.32229614,0.29823303,0.35432053,0.6634369,0.19726562,0.09996796,0.42262077,0.60767365,0.36767578,0.17029572,0.44517136,0.33333206,0.5891495,0.66418076
1.0,66.0,0.4597701,0.16666669,0.0,0.3885498,0.38064194,0.2915249,0.6682739,0.24267578,0.16925049,0.17261887,0.6545868,0.25024414,0.14645386,0.25471497,0.25,0.6279087,0.58133316
1.0,67.0,0.591954,0.16666669,0.0,0.3373413,0.4181366,0.35060692,0.71819305,0.30322266,0.12792587,0.3214283,0.8422241,0.2944336,0.17612457,0.26010132,0.41666412,0.64341164,0.5479164
1.0,68.0,0.39655173,0.5,0.0,0.3915558,0.24024582,0.37424088,0.67471313,0.30322266,0.13483429,0.3035717,0.6460495,0.27978516,0.16745758,0.38206863,0.33333206,0.6279087,0.58436966
1.0,69.0,0.37356323,0.9166667,0.0,0.37046814,0.4286003,0.32055855,0.7729492,0.2578125,0.12949371,0.33333397,0.75266266,0.32373047,0.15063477,0.40130997,0.33333206,0.66666794,0.66279984
1.0,70.0,0.47126436,0.6666666,0.0,0.30419922,0.28297424,0.3465557,0.6698837,0.31835938,0.14223862,0.33333397,0.69083405,0.35327148,0.15698242,0.3963089,0.33333206,0.5581417,0.7692604
1.0,71.0,0.591954,0.25,0.0,0.3012085,0.20427322,0.35178757,0.67793274,0.19726562,0.10930252,0.2678566,0.6460495,0.30908203,0.17720795,0.37745285,0.25,0.5116291,0.6819916
1.0,72.0,0.40229887,0.5833333,0.0,0.36143494,0.1789856,0.4145851,0.62963104,0.2578125,0.14667892,0.2500019,0.6993561,0.30908203,0.1755104,0.27010345,0.25,0.5426369,0.5720787
1.0,73.0,0.43103448,0.33333334,0.0,0.32528687,0.45781708,0.26468658,0.64894867,0.19726562,0.12522888,0.26190567,0.7142792,0.32373047,0.15435028,0.304348,0.25,0.68992233,0.694973
1.0,74.0,0.6551724,0.5833333,0.0,0.5270996,0.29670715,0.32460976,0.67311096,0.2578125,0.10822296,0.43452644,0.7590637,0.13256836,0.16890335,0.34090042,0.33333206,0.5116291,0.6735687
1.0,75.0,0.55172414,0.16666669,0.0,0.22590637,0.24591064,0.21218681,0.60385895,0.2578125,0.09238815,0.22023964,0.656723,0.33862305,0.15579605,0.5278969,0.33333206,0.5813961,0.63228226
1.0,76.0,0.4137931,0.6666666,0.0,0.3012085,0.39611816,0.28173256,0.61351776,0.18188477,0.15623856,0.35119057,0.61621094,0.22094727,0.1883583,0.28741837,0.16666412,0.68217087,0.7575264
1.0,77.0,0.62643677,0.8333333,0.0,0.40361023,0.33267975,0.3160019,0.7665024,0.24267578,0.110874176,0.33333397,0.62046814,0.2944336,0.18221664,0.49288177,0.41666412,0.6589165,0.5258217
1.0,78.0,0.7298851,0.6666666,0.0,0.23492432,0.21190262,0.36883736,0.5829239,0.27294922,0.092609406,0.32738304,0.7654648,0.41186523,0.1753006,0.20931244,0.33333206,0.57364464,0.62744904
1.0,79.0,0.62643677,0.33333334,0.0,0.27409363,0.2489624,0.3659687,0.63124084,0.21240234,0.11724472,0.29761887,0.6737671,0.36767578,0.18299103,0.33974838,0.5,0.5891495,0.57704926
1.0,80.0,0.48850575,0.16666669,0.0,0.21987915,0.45606995,0.19125366,0.6537781,0.24267578,0.09844208,0.47023773,0.60341644,0.32373047,0.17917252,0.37937546,0.33333206,0.5813961,0.6449852
1.0,81.0,0.39655173,0.16666669,0.0,0.4578247,0.30041504,0.33406448,0.64894867,0.30322266,0.10580063,0.34523964,0.633255,0.25024414,0.14929199,0.38399506,0.33333206,0.4883728,0.66114044
1.0,82.0,0.43103448,0.5833333,0.0,0.24998474,0.3930664,0.28561783,0.697258,0.30322266,0.11885834,0.23809624,0.6950989,0.22094727,0.17597198,0.28356934,0.41666412,0.5813961,0.52071
1.0,83.0,0.5229885,0.9166667,0.0,0.43673706,0.37083054,0.40732574,0.5861511,0.27294922,0.12271881,0.22023964,0.69083405,0.25024414,0.1619339,0.33820724,0.25,0.5116291,0.59817886
1.0,84.0,0.52873564,0.6666666,0.0,0.4307251,0.31567383,0.41103935,0.6537781,0.22753906,0.12895584,0.31547737,0.60767365,0.26489258,0.16307068,0.34244156,0.33333206,0.45736504,0.5124283
1.0,85.0,0.6436782,0.75,0.0,0.32229614,0.4159584,0.40023422,0.7326889,0.16674805,0.15412903,0.3035717,0.769722,0.25024414,0.18252563,0.48095322,0.33333206,0.6744175,0.53824997
1.0,86.0,0.43103448,0.8333333,0.0,0.1897583,0.38718414,0.35972404,0.6183548,0.30322266,0.114551544,0.31547737,0.6673813,0.30908203,0.15543365,0.35552216,0.5,0.62015533,0.69083023
1.0,87.0,0.5,0.16666669,0.0,0.3373413,0.3411789,0.5207615,0.68437195,0.3635254,0.1291771,0.29166794,0.5842209,0.26489258,0.15724182,0.41439056,0.25,0.57364464,0.61585236
1.0,88.0,0.6666666,0.75,0.0,0.22590637,0.22345734,0.40242958,0.7455673,0.2578125,0.11217499,0.36309624,0.74840546,0.2355957,0.1627121,0.5144272,0.33333206,0.5891495,0.57221603
1.0,89.0,0.545977,0.4166667,0.0,0.31022644,0.29845047,0.33710098,0.6537781,0.22753906,0.1503601,0.36309624,0.6098099,0.2944336,0.18170166,0.477108,0.33333206,0.6279087,0.6001091
1.0,90.0,0.59770113,0.4166667,0.0,0.43974304,0.29082108,0.51789284,0.48792267,0.30322266,0.13254547,0.27976227,0.5970154,0.30908203,0.1536789,0.27395248,0.25,0.6511631,0.7967415
1.0,91.0,0.6436782,0.16666669,0.0,0.23191833,0.3008499,0.37997818,0.59420013,0.21240234,0.13007736,0.27976227,0.6098099,0.32373047,0.17782974,0.2693367,0.5,0.7519398,0.6766052
1.0,92.0,0.5574713,0.33333334,0.0,0.5060272,0.41399765,0.31262589,0.63768005,0.3635254,0.11949158,0.3571434,0.6865616,0.25024414,0.1622963,0.282032,0.33333206,0.6589165,0.6324196
1.0,93.0,0.68390805,0.6666666,0.0,0.49395752,0.49487686,0.44277382,0.6795502,0.2578125,0.1172905,0.36309624,0.5842209,0.2944336,0.17137909,0.3697548,0.33333206,0.5581417,0.48812485
1.0,94.0,0.37931034,0.6666666,0.0,0.37348938,0.26662445,0.3830166,0.64572906,0.3786621,0.10813522,0.375,0.62259674,0.27978516,0.16750717,0.49057388,0.41666412,0.5503864,0.66500854
1.0,95.0,0.6091954,0.75,0.0,0.49697876,0.143013,0.47011948,0.6537781,0.18188477,0.12168503,0.31547737,0.6886978,0.20605469,0.16353607,0.5101967,0.5,0.48061943,0.5974884
1.0,96.0,0.3045977,0.5833333,0.0,0.29518127,0.28406143,0.21792603,0.56199646,0.2578125,0.12105942,0.3214283,0.633255,0.26489258,0.15868378,0.40861893,0.33333206,0.57364464,0.59555435
1.0,97.0,0.70114946,0.25,0.0,0.2590332,0.53913116,0.43146515,0.5716629,0.28808594,0.10934448,0.36309624,0.63539124,0.26489258,0.14862442,0.32935715,0.33333206,0.6744175,0.555233
1.0,98.0,0.5344828,0.8333333,0.0,0.23794556,0.43754196,0.37660408,0.4669876,0.24267578,0.10661316,0.30952454,0.7718582,0.26489258,0.14423752,0.2935753,0.25,0.63565826,0.4987564
1.0,99.0,0.47126436,0.5,0.0,0.37651062,0.47285843,0.40310478,0.62963104,0.27294922,0.10503769,0.32738304,0.58208466,0.32373047,0.16425705,0.47402954,0.41666412,0.52713203,0.4668579
1.0,100.0,0.37931034,0.25,0.0,0.30419922,0.40527725,0.49122047,0.7036972,0.2578125,0.10764313,0.47023773,0.6098099,0.2944336,0.16797638,0.38168335,0.33333206,0.61240387,0.7108536
1.0,101.0,0.5689655,0.75,0.0,0.46385193,0.2864647,0.3571911,0.56682587,0.24267578,0.13716507,0.45833397,0.6823044,0.2944336,0.13432693,0.42477798,0.25,0.47286987,0.71899796
1.0,102.0,0.59770113,0.9166667,0.0,0.49395752,0.39393997,0.35735893,0.5748749,0.3786621,0.13294983,0.38095474,0.5735626,0.25024414,0.15718842,0.50481033,0.41666412,0.62015533,0.6505089
1.0,103.0,0.42528737,0.5833333,0.0,0.3012085,0.22302246,0.35381317,0.6103058,0.28808594,0.14156723,0.4285717,0.57995605,0.32373047,0.12622452,0.39015198,0.33333206,0.42635727,0.73833084
1.0,104.0,0.49425286,0.5833333,0.0,0.32528687,0.42707825,0.4051304,0.61351776,0.27294922,0.10320282,0.29166794,0.7867813,0.30908203,0.16487885,0.29703522,0.33333206,0.63565826,0.61460876
1.0,105.0,0.63793105,0.8333333,0.0,0.2409668,0.37584686,0.35398293,0.52495575,0.28808594,0.11949158,0.27381134,0.66524506,0.2944336,0.17581558,0.41439056,0.41666412,0.4883728,0.6786804
1.0,106.0,0.5,0.5833333,0.0,0.44276428,0.39263153,0.37474442,0.60385895,0.27294922,0.12604141,0.35119057,0.6012802,0.30908203,0.13644409,0.5444412,0.33333206,0.7286835,0.7188606
1.0,107.0,0.43103448,0.4166667,0.0,0.39759827,0.5251808,0.43011284,0.6264038,0.2578125,0.12092209,0.29761887,0.65245056,0.27978516,0.16750717,0.38168335,0.6666641,0.6744175,0.71030045
1.0,108.0,0.545977,0.5833333,0.0,0.68673706,0.3241768,0.29067993,0.7375183,0.3635254,0.113521576,0.45238304,0.60341644,0.22094727,0.16296768,0.34012985,0.41666412,0.47286987,0.5647621
1.0,109.0,0.43678162,0.25,0.0,0.38552856,0.33594894,0.45323944,0.6022568,0.30322266,0.13191605,0.43452644,0.624733,0.33862305,0.16012955,0.19546127,0.5,0.70542717,0.63780594
1.0,110.0,0.5,0.8333333,0.0,0.40361023,0.41355896,0.3210659,0.68116,0.34838867,0.13313293,0.41666794,0.7078934,0.35327148,0.1404686,0.5344391,0.41666412,0.71318054,0.5535736
1.0,111.0,0.545977,0.8333333,0.0,0.43974304,0.29082108,0.43652916,0.5861511,0.3334961,0.13420486,0.45833397,0.6055527,0.38232422,0.16750717,0.46094894,0.33333206,0.6046505,0.4408989
1.0,112.0,0.52873564,0.75,0.0,0.43673706,0.33616638,0.33068657,0.5378418,0.24267578,0.13259125,0.22023964,0.6844406,0.2944336,0.16296768,0.46017838,0.5,0.5426369,0.5889244
1.0,113.0,0.54022986,0.5833333,0.0,0.44276428,0.43187332,0.4108696,0.49274445,0.30322266,0.14098358,0.36309624,0.65245056,0.41186523,0.15161514,0.5121193,0.41666412,0.5891495,0.5742874
1.0,114.0,0.51724136,0.8333333,0.0,0.3313141,0.37889862,0.34976196,0.71497345,0.2578125,0.1115036,0.43452644,0.63752747,0.39697266,0.16730118,0.4005394,0.5,0.5813961,0.6644592
1.0,115.0,0.40229887,0.9166667,0.0,0.43673706,0.51885605,0.41103935,0.689209,0.31835938,0.12850952,0.34523964,0.5692978,0.35327148,0.14273834,0.42169952,0.41666412,0.61240387,0.5633812
1.0,116.0,0.38505745,0.25,0.0,0.4307251,0.20209503,0.33321953,0.7326889,0.27294922,0.1255455,0.34523964,0.62046814,0.25024414,0.17813873,0.31165695,0.5,0.68992233,0.6310425
1.0,117.0,0.52873564,0.8333333,0.0,0.35240173,0.408329,0.4574604,0.7632904,0.30322266,0.12509918,0.39881134,0.53944397,0.32373047,0.13510132,0.3874588,0.25,0.45736504,0.38994598
1.0,118.0,0.46551725,0.16666669,0.0,0.34036255,0.31894684,0.45729065,0.70853424,0.30322266,0.13187408,0.41666794,0.5586395,0.35327148,0.18201065,0.36475372,0.41666412,0.57364464,0.5556488
1.0,119.0,0.57471263,0.9166667,0.0,0.43974304,0.5615883,0.37491417,0.63124084,0.30322266,0.10840225,0.41666794,0.59062195,0.30908203,0.12338638,0.36360168,0.5,0.6744175,0.5862999
1.0,120.0,0.36206895,0.9166667,0.0,0.48191833,0.49575043,0.4292717,0.61351776,0.30322266,0.12110138,0.4464283,0.5650406,0.32373047,0.13226318,0.30011368,0.41666412,0.5193825,0.56876755
1.0,121.0,0.31034482,0.8333333,0.0,0.42770386,0.49095535,0.50050545,0.6199646,0.2578125,0.0863266,0.35119057,0.5565033,0.2355957,0.175457,0.39015198,0.5,0.37984657,0.72880554
1.0,122.0,0.64942527,0.4166667,0.0,0.62950134,0.49356842,0.5354481,0.5764847,0.3786621,0.09269714,0.4464283,0.47547913,0.35327148,0.16446304,0.3874588,0.41666412,0.5581417,0.53176117
1.0,123.0,0.591954,0.33333334,0.0,0.6566162,0.3405304,0.35094452,0.4492798,0.3334961,0.12433624,0.33333397,0.62046814,0.42651367,0.1536789,0.44132233,0.33333206,0.5891495,0.5492935
1.0,124.0,0.6436782,0.6666666,0.0,0.38252258,0.3509941,0.3381157,0.3880844,0.34838867,0.14044571,0.41666794,0.57782745,0.36767578,0.1748352,0.4490204,0.41666412,0.5116291,0.4693451
1.0,125.0,0.4770115,0.9166667,0.0,0.5270996,0.31458282,0.40800095,0.41706848,0.34838867,0.10961914,0.4642868,0.6140747,0.33862305,0.13618469,0.319355,0.5,0.4186058,0.56572723
1.0,126.0,0.591954,0.5833333,0.0,0.38552856,0.25288773,0.6119175,0.6231842,0.22753906,0.12285614,0.38095474,0.56716156,0.2944336,0.15997314,0.43439865,0.33333206,0.5503864,0.46216583
1.0,127.0,0.44252872,0.6666666,0.0,0.5361328,0.34576035,0.29101944,0.63768005,0.28808594,0.117427826,0.4642868,0.5650406,0.32373047,0.1706047,0.5298195,0.41666412,0.59689903,0.5288582
1.0,128.0,0.46551725,0.75,0.0,0.37950134,0.49771118,0.41880417,0.4653778,0.34838867,0.15641785,0.45833397,0.6972351,0.41186523,0.16585922,0.44786453,0.41666412,0.5503864,0.5107689
